docdb_family_id,stratum,gold_neuro,cheap_neuro
57083699,1,0,0
66530674,8,0,0
73981198,8,2,2
26456897,4,0,2
60301915,8,0,0
70666254,5,0,0
63254613,8,0,0
83410927,5,0,0
76241640,8,2,2
84994881,7,0,0
62718296,7,0,0
68120777,5,0,0
45105347,5,0,0
86060815,4,0,2
48017397,4,0,2
50340778,5,0,0
45423618,7,0,0
75788680,2,0,0
57588223,7,0,0
73665241,5,0,0
6296784,8,0,0
86485812,8,2,2
15075191,0,0,0
84194031,5,0,0
66005768,5,0,0
61511956,2,0,0
88231768,5,0,0
25428678,6,0,0
42725203,3,0,0
76723694,8,2,2
49889580,5,2,2
67767548,6,2,2
50693545,8,0,0
89616626,8,0,0
89529044,7,0,0
6302475,2,0,1
9847513,1,0,0
15019905,1,0,0
75551003,6,2,2
81185485,7,0,2
95852377,7,2,2
56550922,6,0,2
57178573,7,0,0
90941875,7,0,0
95911870,2,0,0
75699165,5,0,0
85006202,5,0,0
59824822,5,0,0
59065187,6,0,0
63747199,5,0,0
56972229,5,0,2
92901688,0,0,0
71259138,5,0,0
83026941,4,0,2
49355178,4,0,2
16125175,0,0,0
81648038,4,0,0
20175051,5,0,0
27022125,7,0,0
47470901,6,2,2
68980764,6,0,0
26624104,4,0,0
95837279,7,2,2
9813514,0,0,0
56383594,5,0,2
27494785,8,0,0
86255298,0,0,0
61282323,5,0,0
23246002,4,0,0
55240686,8,2,2
85168154,4,0,0
39477132,4,0,0
68102660,4,0,1
90575247,4,2,2
67059163,8,0,0
68480829,5,0,2
84651759,1,0,0
27375733,7,2,2
57013407,5,0,0
52118198,5,0,2
59071022,7,2,2
61902983,6,0,0
88386125,7,0,2
13157376,2,0,1
61311187,2,0,0
11351267,6,0,0
6322482,3,0,1
37739083,5,2,2
82537069,6,0,0
87752781,4,0,2
18373519,5,0,0
75971203,7,0,0
85331251,8,0,0
20228643,0,0,0
57356505,5,0,2
57542674,8,0,0
34513790,6,2,2
52595366,7,0,0
60043563,8,2,2
62507047,3,0,0
84208677,8,0,0
43758984,6,0,0
46378139,2,0,0
77086623,8,2,2
38728884,6,0,0
63452717,7,2,2
40491431,7,0,0
87913366,8,0,0
7778876,7,0,0
72859014,3,0,0
22983532,8,0,0
93519768,5,2,2
27081684,2,0,0
68221769,7,0,0
71903850,7,0,0
44889454,1,0,0
51506828,8,2,2
74156784,4,0,0
35063556,6,0,2
27080047,4,0,2
29404980,6,0,0
84488573,6,0,0
87218639,5,0,0
66974911,5,0,2
72662075,8,2,2
32393354,7,0,2
71798821,8,2,2
57875892,2,0,0
74387234,5,0,2
46978468,5,0,2
27188075,1,0,1
63591760,5,0,0
53236166,4,0,0
68664307,5,0,0
83953362,5,0,2
47744675,8,0,0
86342165,5,0,2
49987180,5,0,0
47843413,8,0,0
41577083,6,0,2
39325126,8,2,0
90961158,6,0,2
50075336,6,0,2
67473133,0,0,0
14893010,0,0,0
31950510,7,2,2
57668094,6,0,0
87835398,7,2,2
61962336,5,0,0
26819646,5,0,0
79058795,7,2,2
78269608,8,2,0
3803852,4,0,0
72765934,5,0,2
72041202,6,0,0
86384896,8,2,2
20390622,6,0,0
59790082,5,0,0
26899330,7,0,0
6013188,7,0,0
51012157,4,0,0
43051304,6,0,2
25667533,8,0,0
9815387,0,0,0
90048510,4,0,0
84295206,7,0,2
6314787,8,0,0
6336900,3,0,1
10747198,8,0,0
71161586,6,0,2
38206167,8,2,2
42139397,8,2,0
36575406,7,0,0
72967548,1,0,0
86971258,8,2,2
69534614,6,0,2
66333392,6,0,0
32679494,2,0,0
49102101,4,0,0
12366440,2,0,0
82957197,5,0,0
65452409,3,0,0
25587912,8,0,0
72421791,6,0,0
62241858,5,0,0
17418619,1,0,0
63417448,1,0,0
3918016,7,0,0
54938328,8,0,0
27406573,0,0,0
48168700,7,2,0
23562688,5,0,2
64955917,6,2,0
82237232,4,0,2
71709085,6,0,0
13972627,0,0,0
34193914,6,2,2
6349658,3,0,1
18625127,4,0,2
38675153,1,0,0
86262494,5,0,0
43992413,6,0,0
89047170,7,0,0
22030514,4,0,2
45067115,8,0,0
58227457,5,0,0
47449486,7,0,0
73582607,4,0,2
72369307,6,0,2
56282210,6,0,2
42934748,5,0,2
72390769,3,0,0
44166760,7,0,0
83667164,3,0,0
88706171,8,0,2
6269551,1,0,1
69403901,2,0,1
83155492,8,2,2
86442983,8,2,2
66531875,3,0,1
58268143,6,0,0
73206324,5,0,0
60722226,6,0,0
88966238,6,0,0
25871990,1,0,1
61977435,8,0,0
51693673,5,2,2
82612021,7,0,2
44256164,4,0,0
6233549,7,0,0
69850532,7,0,2
66439572,6,0,0
54392969,6,0,2
52791180,5,0,0
69410930,6,0,0
